"id","nazwa","facebook_id","isPublic"
"237","Gramy w Scrabble w Katowicach","235273636536114","0"
"238","Festiwal Filmów Niezależnych kiloff","237325321854","0"
"239","Festyn charytatywny Konopy","240334712989409","0"
"240","art+bits","240484329406676","1"
"241","Tap Dance Katowice","241299305974969","0"
"242","Realizacja Dźwięku - Akademia Muzyczna w Katowicach","241488999234821","1"
"243","Cafe Europa Katowice","245870212125240","0"
"244","ANIMATOR","246941418220","0"
"245","Kinoteatr Rialto","247487101951365","1"
"246","Katowice Na Stolicę!","247934041889247","0"
"247","Ulice i place Katowic","248676871920793","0"
"248","Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach","250320091649355","1"
"249","STARY DWORZEC KATOVVICE","252755111479137","0"
"250","Prepar","259501604153776","0"
"251","Stowarzyszenie Moje Miasto","259654645641","0"
"252","Muzeum Powstań Śląskich w Świętochłowicach","260664747475768","1"
"253","Jam Session w Katofonii","263205833854574","0"
"254","Katowice Miasto Muzyki UNESCO","265168403842897","0"
"255","Fundacja Giesche","265857433529619","0"
"256","Teatr Śląski im. Stanisława Wyspiańskiego","267973669889328","1"
"257","1st Year Students Drawing Studio - ASP Katowice","270039706372532","0"
"258","Szyb Maciej","271747226341883","0"
"259","Klub Niezależnych Stowarzyszeń Twórczych \"Marchołt\"","273317839410974","0"
"260","Miejska Biblioteka Publiczna w Katowicach","273989833676","1"
"261","Digerido","274501419239883","0"
"262","Katowice JazzArt Festival","275609069265206","1"
"263","Fonografika Young Stage Katowice","280920465373074","0"
"264","kwiatuchi","281661905178680","0"
"265","Miejska Biblioteka Publiczna w Katowicach, Filia 28","283421711678831","1"
"266","Parafia św. Józefa Katowice Załęże","285098901660140","0"
"267","American Corner Katowice","286939208082376","0"
"268","Polska Noc Kabaretowa","291048610943780","0"
"269","Raz Dwa Trzy","292455155249","0"
"270","Polskie Towarzystwo Kulturoznawcze - Oddział Katowice","295279170557064","0"
"271","Komis Płytowy Katowice","304864682953186","0"
"272","Muzeum Historii Katowic","308288305919421","1"
"273","Royal Concert","310194872422767","0"
"274","Konferencja Agrafa","313043755389731","0"
"275","Jazz Club Hipnoza (official venue profile)","318661904876069","0"
"276","Warszawskie Targi Książki / Warsaw Book Fair","320258793027","0"
"277","Modernizm Powojenny Katowic","321320504868233","0"
"278","Miejski Dom Kultury Koszutka","329754960510682","1"
"279","KATO","332189844190","0"
"280","Cztery Pory Roku Festiwal","332872783472946","0"
"281","Muzeum Śląskie","334195793031","1"
"282","Jarmarki Śląskie","338273769590449","0"
"283","Vinted","339266119521713","0"
"284","Śląski Urząd Wojewódzki - Informacje z pierwszej ręki - uw.katowice","346486148704924","1"
"285","Kwiaciarnia Grafiki","346609738749306","0"
